system:index,MATCH1_x,mean
2258,6Census Tract 43731,0.184429698
2259,6Census Tract 43741,0.179507357
0000000000000000225a,6Census Tract 43761,0.198078514
2262,6Census Tract 43791,0.177822425
2263,6Census Tract 43811,0.221338034
2264,6Census Tract 4382.011,0.170838363
2265,6Census Tract 43781,0.217389641
2267,6Census Tract 44021,0.182006214
2268,6Census Tract 4403.041,0.187733769
2269,6Census Tract 43221,0.236041372
0000000000000000226a,6Census Tract 43231,0.1848628
0000000000000000226b,6Census Tract 4403.051,0.201323036
0000000000000000226c,6Census Tract 43271,0.208106908
0000000000000000226d,6Census Tract 4325.021,0.199084145
0000000000000000226e,6Census Tract 4331.031,0.144369422
2347,6Census Tract 4356.021,0.214913543
2348,6Census Tract 4433.211,0.204004202
2349,6Census Tract 4035.021,0.128129772
2353,6Census Tract 4037.021,0.136639311
2566,6Census Tract 40691,0.219748181
2567,6Census Tract 42211,0.165833121
2568,6Census Tract 42221,0.163868815
2569,6Census Tract 42231,0.191630525
0000000000000000256a,6Census Tract 42241,0.14172324
000000000000000026ab,6Census Tract 4066.011,0.157430517
000000000000000026ac,6Census Tract 4054.021,0.12877395
000000000000000026c4,6Census Tract 4371.021,0.21086881
000000000000000026c5,6Census Tract 4356.011,0.173870624
000000000000000026dc,6Census Tract 4377.011,0.185385061
2.60E+06,6Census Tract 44271,0.205485734
2.60E+07,6Census Tract 44281,0.184243321
000000000000000026ec,6Census Tract 44291,0.202799202
000000000000000026f5,6Census Tract 4430.011,0.198284952
000000000000000026f6,6Census Tract 4430.021,0.211582461
000000000000000026f7,6Census Tract 4433.011,0.224908207
000000000000000026f9,6Census Tract 44421,0.215838541
000000000000000026fe,6Census Tract 44441,0.19693464
2700,6Census Tract 44451,0.172479941
2701,6Census Tract 45021,0.280010321
2750,6Census Tract 40821,0.235413751
2755,6Census Tract 40841,0.150111981
2756,6Census Tract 40851,0.164510219
2757,6Census Tract 40861,0.141542954
2758,6Census Tract 40871,0.138094481
2761,6Census Tract 40881,0.119844962
2762,6Census Tract 40891,0.107624069
2763,6Census Tract 40911,0.158192923
2764,6Census Tract 40921,0.194543944
2765,6Census Tract 40931,0.134069603
2774,6Census Tract 40941,0.110775052
2775,6Census Tract 40951,0.109867162
2776,6Census Tract 40961,0.141296202
2777,6Census Tract 40971,0.156562667
2778,6Census Tract 41011,0.178294641
2780,6Census Tract 41021,0.164189251
2781,6Census Tract 41041,0.148023793
2782,6Census Tract 42011,0.182054714
2783,6Census Tract 42021,0.140266098
2789,6Census Tract 42051,0.149172164
0000000000000000278a,6Census Tract 42111,0.264622512
0000000000000000278b,6Census Tract 42111,0.264622512
